"BBO tip-tilt (hor turns, vert turns)",angle minimum 1,minvalue 1 (mW),angle minimum 2,minvalue 2 (mW),angle maximum 1,maxvalue 1 (mW),angle maximum 2,maxvalue 2 (mW)
"(1/4,-3/4)"                          ,42             ,               ,242            ,"0,491"        ,356            ,               ,150            ,"0,577"
"(0,-3/4)"                            ,42             ,"0,354"        ,228            ,"0,361"        ,314            ,"0,685"        ,132            ,"0,713"
"(0,-1)"                              ,41             ,"0,501"        ,241            ,"0,491"        ,357            ,"0,551"        ,153            ,"0,574"
"(1/4,-1)"                            ,311            ,"0,378"        ,130            ,"0,398"        ,219            ,"0,680"        ,30             ,"0,683"
"(1/2,-1)"                            ,308            ,"0,326"        ,132            ,"0,344"        ,220            ,"0,730"        ,34             ,"0,731"
"(1/2,-3/4)"                          ,308            ,"0,377"        ,130            ,"0,389"        ,219            ,"0,680"        ,31             ,"0,686"
"(1/2,-1/2)"                          ,260            ,"0,499"        ,78             ,"0,527"        ,162            ,"0,567"        ,5              ,"0,561"
"(1/4,-1/2)"                          ,230            ,"0,386"        ,41             ,"0,387"        ,132            ,"0,691"        ,314            ,"0,666"
"(0,-1/2)"                            ,262            ,"0,339"        ,43             ,"0,341"        ,132            ,"0,747"        ,315            ,"0,717"
"(-1/4,-1/2)"                         ,230            ,"0,434"        ,46             ,"0,432"        ,132            ,"0,651"        ,314            ,"0,627"
"(-1/4,-3/4)"                         ,226            ,"0,343"        ,42             ,"0,343"        ,134            ,"0,749"        ,314            ,"0,719"
"(-1/4,-1)"                           ,229            ,"0,372"        ,42             ,"0,374"        ,132            ,"0,710"        ,314            ,"0,684"
"(-1/4,-5/4)"                         ,256            ,"0,505"        ,41             ,"0,522"        ,154            ,"0,567"        ,359            ,"0,557"
"(0,-5/4)"                            ,306            ,"0,386"        ,134            ,"0,405"        ,214            ,"0,684"        ,30             ,"0,688"
"(1/4,-5/4)"                          ,310            ,"0,330"        ,130            ,"0,348"        ,218            ,"0,739"        ,34             ,"0,739"
"(1/2,-5/4)"                          ,307            ,"0,42"         ,129            ,"0,440"        ,220            ,"0,652"        ,30             ,"0,652"